file	map	dur	bots	human	stalls	stall_pm	stall_max_bot	freezes	fz_max	fz_fire	routefail	rf_pm	trapped	abandon	unstick	engage	eng_pm	pursue	retreat	grab	goal	weapon	hazard	haz_pm	bot_deaths	bot_world	bot_lava_z	bot_lava_obit	bot_kills_human	human_kills_bot	human_deaths	human_world	bot_kills_bot	human_frg	bot_frg	frag_spread	cells	cells_pm	avg_spd	mode2	doors	lifts	boards	trains	jumps	rjump	swim	hunch	prefire	watch	shove
shane_dm4_2026-08-17_v37.log	dm4	192	3	player	30	9.4	14	0	0	0	8	2.5	0	10	0	104	32.6	0	0	0	176	69	284	89.0	38	3	3	3	10	12	10	0	22		Zeus=8;Omi=13;Reap=6	7	498	156.0	243	63	0	0	0	0	59	0	22	0	0	0	0
shane_dm4_2026-08-17_v38.log	dm4	176	3	player	36	12.2	19	0	0	0	11	3.7	0	10	0	107	36.4	0	0	0	149	48	212	72.1	29	2	2	2	20	2	20	0	24		Zeus=23;Omi=8;Reap=9	15	467	158.8	247	69	0	0	0	0	104	0	10	0	0	0	0
shane_dm4_2026-08-17_v39.log	dm4	228	3	player	42	11.0	23	0	0	0	10	2.6	0	24	0	116	30.5	0	0	0	193	63	310	81.5	33	4	4	4	18	5	18	0	21		Zeus=4;Omi=13;Reap=15	11	514	135.2	245	59	0	0	0	0	123	0	19	0	0	0	0
shane_dm4_2026-08-17_v310.log	dm4	250	3	player	51	12.2	22	0	0	0	8	1.9	0	7	0	129	30.9	95	0	0	187	61	362	86.7	46	2	2	2	16	8	17	1	35		Zeus=12;Omi=18;Reap=18	6	583	139.6	243	62	0	0	0	0	86	0	9	0	0	0	0
shane_dm4_2026-08-17_v311.log	dm4	150	3	player	16	6.4	10	0	0	0	21	8.4	0	26	0	70	28.0	53	0	0	133	31	233	93.1	24	2	2	2	9	5	10	1	16		Zeus=6;Omi=7;Reap=9	3	437	174.7	262	57	0	0	0	0	26	0	14	0	0	0	0
shane_dm4_2026-08-17_v312.log	dm4	184	3	player	19	6.2	8	0	0	0	10	3.3	0	13	0	84	27.4	63	0	0	144	24	279	91.0	31	1	1	1	8	7	11	3	21		Zeus=9;Omi=11;Reap=6	5	514	167.7	255	55	0	0	0	0	54	0	2	0	0	0	0
shane_dm4_2026-08-17_v313.log	dm4	92	4	player	10	6.6	10	0	0	0	6	3.9	0	4	0	52	34.1	25	0	0	78	12	125	82.0	16	0	0	0	7	0	7	0	15		Zeus=3;Omi=2;Reap=8;Ares=1	7	318	208.5	253	59	0	0	0	0	36	0	3	0	0	0	0
shane_dm4_2026-08-17_v314.log	dm4	22	3	player	2	5.4	1	0	0	0	2	5.4	0	2	0	11	29.5	5	0	0	27	11	37	99.1	5	2	2	2	1	1	1	0	2		Zeus=-1;Omi=-1;Reap=2	3	91	243.7	238	62	0	0	0	0	2	0	11	0	0	0	0
shane_dm2_2026-08-18.log	dm2	493	3	player	167	20.3	77	0	0	0	386	47.0	0	33	0	107	13.0	98	0	0	521	11	694	84.5	61	3	0	3	3	26	4	1	29		Zeus=6;Omi=6;Reap=14	8	835	101.7	206	63	0	30	0	0	196	0	19	0	0	0	0
shane_dm4_2026-08-18_v316.log	dm4	284	3	player	33	7.0	16	0	0	0	16	3.4	0	10	0	147	31.1	117	0	0	128	85	400	84.7	55	3	3	3	22	14	24	2	34		Zeus=15;Omi=12;Reap=22	10	607	128.5	252	74	0	0	0	0	46	0	17	0	0	0	0
shane_dm6_2026-08-18_v316.log	dm6	287	3	player	20	4.2	9	1	12.7	0	16	3.3	0	11	0	108	22.6	106	0	0	139	90	241	50.4	32	0	0	0	18	4	18	0	26		Zeus=11;Omi=19;Reap=12	8	825	172.6	267	66	0	0	0	0	85	0	0	0	0	0	0
shane_2026-08-18_v320.log	dm4	103	3	player	5	2.9	3	0	0	0	7	4.1	0	0	0	54	31.5	24	0	0	54	36	155	90.3	21	1	1	1	5	6	5	0	14		Zeus=4;Omi=5;Reap=9	5	312	181.7	242	63	0	0	0	0	12	1	7	0	0	0	0
shane_dm2_2026-08-18_v325b.log	dm2	485	3	player	128	15.8	52	0	0	0	346	42.8	25	16	0	149	18.4	158	0	0	510	35	532	65.8	99	1	0	1	9	23	10	1	40		Zeus=-5;Omi=7;Reap=17	22	912	112.8	226	69	0	31	0	0	179	0	6	0	0	0	0
shane_dm2_2026-08-18_v329.log	dm2	624	3	player	189	18.2	74	0	0	0	425	40.8	25	14	0	182	17.5	215	0	0	651	51	706	67.9	110	0	0	0	9	37	9	0	38		Zeus=10;Omi=2;Reap=10	8	996	95.7	216	74	0	48	0	0	251	2	0	0	0	0	0
